station_name,County,latitude,longitude,ring_number,core_number,nominal_depth,sampling_date_1,Ksat_cm_per_day,Ksat_cm_per_hr,sand,clay,silt,textural_class,bulk_density,particle_density,porosity,vwc_sat,vwc_field,vwc_2kPa,vwc_5kPa,vwc_10kPa,vwc_33kPa,vwc_70kPa,vwc_1500kPa,vwc_air_dry_2day,vwc_ovendry_40,theta_s_vanGenuchten,theta_r_vanGenuchten,alpha_vanGenuchten,n_vanGenuchten,thermal_cond_sat,thermal_cond_5kPa,thermal_cond_10kPa,thermal_cond_33kPa,thermal_cond_70kPa,thermal_cond_air_dry_2day,thermal_cond_ovendry_40,heat_capacity_sat,heat_capacity_5kPa,heat_capacity_10kPa,heat_capacity_33kPa,heat_capacity_70kPa,heat_capacity_air_dry_2day,heat_capacity_ovendry_40,diffussivity_sat,diffussivity_5kPa,diffussivity_10kPa,diffussivity_33kPa,diffussivity_70kPa,diffussivity_air_dry_2day,diffussivity_ovendry_40,L_dry,a_dry,b_dry,L_wet,a_wet,b_wet,total_N,total_C,Ca,Mg,Na,OM,P,pH,pHBuf,K,Observations
Manhattan,Riley,39.20856,-96.59169,1,1,5,6/27/2018 0:00,4439.3,185.0,,,,silty clay loam,1.40,2.62,0.46,0.43,0.27,0.43,0.39,0.37,0.32,0.30,0.20,,0.02,0.44,0.01,0.24,1.14,1.52,,,1.33,,,0.59,2.98,,,2.75,,,1.55,0.51,,,0.48,,,0.38,,,,,,,0.18,1.8,2362.2,357.8,122.1,3.3,33.0,5.9,6.4,326.5,roots causing high flow
Manhattan,Riley,39.20856,-96.59169,2,1,10,6/27/2018 0:00,288.1,12.0,,,,silty clay loam,1.48,2.64,0.44,0.43,0.22,0.43,0.39,0.38,0.32,0.31,0.22,,0.02,0.43,0.12,0.21,1.20,1.51,,,1.35,,,0.50,3.03,,,2.44,,,1.31,0.50,,,0.55,,,0.39,,,,,,,0.14,1.5,2446.1,390.4,159.5,2.8,10.1,6.3,6.5,208.7,
Manhattan,Riley,39.20856,-96.59169,3,1,20,6/27/2018 0:00,81.7,3.4,,,,silty clay loam,1.38,2.69,0.49,0.43,0.21,0.42,0.38,0.37,0.32,0.28,0.21,,0.01,0.43,0.14,0.21,1.26,1.51,,,1.34,,,0.34,2.88,,,2.89,,,1.01,0.52,,,0.47,,,0.33,,,,,,,0.14,1.4,2575.7,401.8,173.0,2.9,7.4,6.1,6.5,168.6,
Manhattan,Riley,39.20856,-96.59169,4,1,50,6/27/2018 0:00,11.3,0.5,,,,silty clay loam,1.51,2.68,0.44,0.42,0.30,0.42,0.40,0.39,0.36,0.35,0.29,,0.02,0.42,0.17,0.16,1.14,1.40,,,1.28,,,0.67,3.02,,,2.70,,,1.44,0.46,,,0.48,,,0.47,,,,,,,0.10,0.9,3334.6,668.7,203.7,2.3,1.6,6.7,6.7,258.1,
Manhattan,Riley,39.20856,-96.59169,5,2,5,6/27/2018 0:00,1411.1,58.8,11,29,60,silty clay loam,1.31,2.79,0.53,0.46,0.28,0.45,0.41,0.40,0.36,0.36,0.17,,0.02,0.44,0.01,0.04,1.23,1.19,,,1.24,,,,2.99,,,2.67,,,,0.40,,,0.46,,,,40.80,7.30,13.30,23.60,5.40,10.10,,,,,,,,,,,roots  causing high flow
Manhattan,Riley,39.20856,-96.59169,6,2,10,6/27/2018 0:00,203.7,8.5,9,33,58,silty clay loam,1.36,2.61,0.48,0.44,0.23,0.43,0.38,0.37,0.31,0.30,0.18,,0.02,0.45,0.01,0.31,1.15,1.37,,,1.29,,,,2.89,,,2.54,,,,0.48,,,0.51,,,,44.50,6.10,11.70,25.60,4.00,7.90,,,,,,,,,,,
Manhattan,Riley,39.20856,-96.59169,7,2,20,6/27/2018 0:00,93.7,3.9,9,33,58,silty clay loam,1.39,2.59,0.46,0.44,0.21,0.42,0.38,0.37,0.32,0.29,0.18,,0.02,0.44,0.01,0.29,1.15,1.54,,,1.47,,,,2.86,,,2.67,,,,0.54,,,0.55,,,,42.90,6.10,12.10,22.30,4.80,7.10,,,,,,,,,,,
Manhattan,Riley,39.20856,-96.59169,8,2,50,6/27/2018 0:00,0.4,0.0,6,39,56,silty clay loam,1.47,2.63,0.44,0.43,0.34,0.42,0.41,0.41,0.39,0.38,0.24,,0.01,0.42,0.01,0.02,1.18,1.37,,,1.36,,,,2.95,,,2.92,,,,0.46,,,0.47,,,,46.60,6.20,13.00,25.60,5.10,8.60,,,,,,,,,,,
Ashland Bottoms,Riley,39.12584,-96.63643,9,1,5,6/27/2018 0:00,17.0,0.7,,,,silty clay loam,1.44,2.59,0.45,0.42,0.24,0.42,0.40,0.39,0.35,0.32,0.22,,0.02,0.43,0.08,0.11,1.18,1.50,,,1.41,,,0.50,3.19,,,2.73,,,1.65,0.47,,,0.52,,,0.30,,,,,,,0.17,1.6,2584.6,365.7,118.3,3.2,5.4,6.1,6.6,340.7,
Ashland Bottoms,Riley,39.12584,-96.63643,10,1,10,6/27/2018 0:00,10185.3,424.4,,,,silty clay loam,1.35,2.63,0.49,0.41,0.20,0.38,0.35,0.34,0.30,0.28,0.20,,0.01,0.42,0.01,0.72,1.11,1.40,,,1.28,,,0.54,3.04,,,2.62,,,1.63,0.46,,,0.49,,,0.33,,,,,,,0.12,1.2,2690.6,410.3,111.8,2.7,3.2,6.2,6.6,209.2,roots  causing high flow
Ashland Bottoms,Riley,39.12584,-96.63643,11,1,20,6/27/2018 0:00,15401.1,641.7,,,,silty clay,1.24,2.64,0.53,0.46,0.23,0.41,0.38,0.37,0.32,0.29,0.22,,0.01,0.47,0.11,1.00,1.16,1.17,,,1.18,,,0.40,3.14,,,2.91,,,0.59,0.37,,,0.41,,,0.69,,,,,,,0.12,1.1,3166.0,556.8,119.8,2.6,2.1,6.0,6.5,231.3,roots  causing high flow
Ashland Bottoms,Riley,39.12584,-96.63643,12,1,50,6/27/2018 0:00,14172.7,590.5,,,,silty clay,1.18,2.61,0.55,0.49,0.23,0.43,0.39,0.38,0.32,0.31,0.19,,0.01,0.49,0.01,1.00,1.13,1.18,,,1.11,,,0.26,2.97,,,2.62,,,1.32,0.40,,,0.43,,,0.20,,,,,,,0.08,0.9,3465.0,676.4,168.7,2.2,1.0,6.8,6.8,255.5,roots
Ashland Bottoms,Riley,39.12584,-96.63643,13,2,5,6/27/2018 0:00,13223.2,551.0,8.6,33.2,58.2,silty clay loam,1.29,2.54,0.49,0.43,0.24,0.41,0.39,0.38,0.33,0.30,0.15,,0.02,0.42,0.01,0.08,1.22,1.42,,,1.22,,,,3.10,,,2.57,,,,0.46,,,0.48,,,,41.00,5.80,12.30,26.00,5.40,9.70,,,,,,,,,,,roots
Ashland Bottoms,Riley,39.12584,-96.63643,14,2,10,6/27/2018 0:00,13.9,0.6,5.0,37.2,57.8,silty clay loam,1.34,2.53,0.47,0.44,0.19,0.41,0.38,0.37,0.31,0.30,0.17,,0.01,0.43,0.01,0.20,1.16,1.41,,,1.37,,,,2.99,,,2.93,,,,0.47,,,0.47,,,,28.90,5.50,9.30,26.20,5.30,8.50,,,,,,,,,,,
Ashland Bottoms,Riley,39.12584,-96.63643,15,2,20,6/27/2018 0:00,11699.0,487.5,2.6,50.7,46.8,silty clay,1.29,2.54,0.49,0.45,0.25,0.43,0.41,0.40,0.37,0.36,0.22,,0.01,0.44,0.01,0.09,1.13,1.25,,,1.21,,,,3.19,,,3.11,,,,0.39,,,0.39,,,,41.10,6.50,11.80,28.90,6.40,10.70,,,,,,,,,,,roots  causing high flow
Ashland Bottoms,Riley,39.12584,-96.63643,16,2,50,6/27/2018 0:00,20.9,0.9,2.8,44.1,53.1,silty clay,1.35,2.68,0.50,0.44,0.24,0.42,0.39,0.38,0.35,0.34,0.21,,0.02,0.44,0.01,0.16,1.13,1.34,,,1.26,,,,3.03,,,2.58,,,,0.44,,,0.49,,,,43.10,6.50,13.90,29.80,6.20,11.80,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,17,1,5,6/27/2018 0:00,3.6,0.2,,,,silty clay,1.27,2.54,0.50,0.42,0.30,0.43,0.42,0.41,0.38,0.37,0.12,,0.02,0.42,0.01,0.01,1.49,1.42,,,1.41,,,0.43,3.17,,,2.78,,,1.12,0.45,,,0.51,,,0.38,,,,,,,0.26,2.7,2037.2,266.6,103.1,4.8,16.1,6.0,6.7,506.2,
Clay Center,Clay,39.41722,-97.13926,18,1,10,6/27/2018 0:00,38.3,1.6,,,,silt loam,1.36,2.52,0.46,0.42,0.26,0.44,0.41,0.40,0.32,0.31,0.13,,0.01,0.43,0.01,0.05,1.28,1.44,,,1.23,,,0.43,3.27,,,2.72,,,1.36,0.44,,,0.45,,,0.31,,,,,,,0.17,1.8,1986.9,259.0,107.4,3.2,5.9,6.2,6.7,385.0,
Clay Center,Clay,39.41722,-97.13926,19,1,20,6/27/2018 0:00,160.9,6.7,,,,silt loam,1.30,2.56,0.49,0.57,0.17,0.44,0.40,0.38,0.33,0.28,0.13,,0.01,0.57,0.01,1.00,1.18,1.42,,,1.25,,,0.50,3.56,,,2.61,,,1.38,0.40,,,0.48,,,0.36,,,,,,,0.15,1.6,2169.2,361.7,104.1,3.0,2.9,6.2,6.7,269.4,
Clay Center,Clay,39.41722,-97.13926,20,1,50,6/27/2018 0:00,102.6,4.3,,,,silty clay loam,1.22,2.66,0.54,0.57,0.17,0.41,0.36,0.35,0.30,0.28,0.12,,0.01,0.55,0.02,1.00,1.20,1.32,,,1.09,,,0.42,3.11,,,2.44,,,1.66,0.42,,,0.44,,,0.25,,,,,,,0.10,0.9,2874.1,569.4,146.3,2.2,1.2,6.9,7.0,279.0,
Clay Center,Clay,39.41722,-97.13926,21,2,5,6/27/2018 0:00,1.9,0.1,12,43,45,silty clay,1.34,2.52,0.47,0.56,0.31,0.42,0.41,0.41,0.38,0.37,0.11,,0.02,0.46,0.01,0.02,1.41,1.48,,,1.30,,,,3.08,,,3.20,,,,0.48,,,0.41,,,,44.10,6.70,12.00,22.20,4.70,7.60,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,22,2,10,6/27/2018 0:00,107.4,4.5,9,25,65,silt loam,1.42,2.62,0.46,0.55,0.25,0.42,0.41,0.40,0.32,0.27,0.12,,0.01,0.54,0.01,0.74,1.19,1.53,,,1.36,,,,2.89,,,2.49,,,,0.53,,,0.55,,,,44.90,6.30,11.80,26.20,5.50,8.90,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,23,2,20,6/27/2018 0:00,100.2,4.2,9,27,64,silt loam,1.34,2.54,0.47,0.56,0.14,0.43,0.39,0.38,0.32,0.26,0.11,,0.01,0.56,0.01,1.00,1.19,1.42,,,1.23,,,,3.31,,,2.69,,,,0.43,,,0.46,,,,43.80,6.90,12.90,24.70,5.60,8.70,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,24,2,50,6/27/2018 0:00,784.0,32.7,6,36,58,silty clay loam,1.22,2.57,0.53,0.55,0.17,0.39,0.34,0.32,0.28,0.26,0.16,,0.01,0.54,0.16,1.00,1.39,1.36,,,1.14,,,,3.12,,,2.54,,,,0.43,,,0.45,,,,48.30,7.10,14.50,28.90,6.20,11.00,,,,,,,,,,,
Washington,Washington,39.7812,-97.05978,25,1,5,7/20/2018 0:00,146.8,6.1,,,,clay loam,1.41,2.62,0.46,0.45,0.21,0.42,0.39,0.37,0.35,0.31,0.16,,0.01,0.43,0.01,0.08,1.20,1.62,,,1.57,,,0.48,3.14,,,2.78,,,1.44,0.52,,,0.57,,,0.33,,,,,,,0.12,1.8,1952.8,419.8,55.5,3.3,2.0,5.6,6.4,180.0,
